atom,sfu_fields
referenceCode,Ref code
legacyId,
parentId,
qubitParentSlug,[AtoM slug of parent series]
accessionNumber,
title,Title
radGeneralMaterialDesignation,
alternateTitle,
radOtherTitleInformation,
radTitleStatementOfResponsibility,
radTitleStatementOfResponsibilityNote,
radTitleAttributionsAndConjectures,
radTitleContinues,
radTitleSourceOfTitleProper,Source of title
radTitleVariationsInTitle,
radTitleParallelTitles,
levelOfDescription,[level]
repository,
identifier,Ref code
radEdition,
radEditionStatementOfResponsibility,
radStatementOfScaleCartographic,
radStatementOfProjection,
radStatementOfCoordinates,
radStatementOfScaleArchitectural,
radIssuingJurisdiction,
extentAndMedium,
radTitleProperOfPublishersSeries,
radParallelTitlesOfPublishersSeries,
radOtherTitleInformationOfPublishersSeries,
radStatementOfResponsibilityRelatingToPublishersSeries,
radNumberingWithinPublishersSeries,
radPublishersSeriesNote,
radNoteOnPublishersSeries,
archivalHistory,
scopeAndContent,
physicalCharacteristics,
acquisition,
arrangement,
language,
script,
languageNote,
locationOfOriginals,
locationOfCopies,
accessConditions,Access status
reproductionConditions,
findingAids,
relatedUnitsOfDescription,
accruals,
radNoteAccompanyingMaterial,
radNoteAlphaNumericDesignation,
radNoteConservation,
radNoteEdition,
radNotePhysicalDescription,
radNotePublishersSeries,
radNoteRights,
radStandardNumber,
subjectAccessPoints,
placeAccessPoints,
nameAccessPoints,
genreAccessPoints,
descriptionIdentifier,
institutionIdentifier,
rules,
descriptionStatus,[=Final]
levelOfDetail,
revisionHistory,
languageOfDescription,[=en]
scriptOfDescription,
sources,
publicationStatus,[=Draft]
digitalObjectPath,
digitalObjectURI,
generalNote,
physicalObjectName,Container
physicalObjectLocation,[=Archives stacks]
physicalObjectType,Container type
alternativeIdentifiers,
alternativeIdentifierLabels,
eventDates,Date range
eventTypes,[=Creation]
eventStartDates,Start
eventEndDates,End
eventDescriptions,
eventActors,
eventActorHistories,
eventPlaces,
culture,[=en]
