atom,origin_fields
referenceCode,
legacyId,legacyId
parentId,ParentID
qubitParentSlug,qubitParentSlug
accessionNumber,
title,title
radGeneralMaterialDesignation,radGeneralMaterialDesignation
alternateTitle,
radOtherTitleInformation,
radTitleStatementOfResponsibility,
radTitleStatementOfResponsibilityNote,
radTitleAttributionsAndConjectures,
radTitleContinues,
radTitleSourceOfTitleProper,
radTitleVariationsInTitle,
radTitleParallelTitles,
levelOfDescription,levelOfDescription
repository,identifier
identifier,
radEdition,
radEditionStatementOfResponsibility,
radStatementOfScaleCartographic,
radStatementOfProjection,
radStatementOfCoordinates,
radStatementOfScaleArchitectural,
radIssuingJurisdiction,
extentAndMedium,extentAndMedium
radTitleProperOfPublishersSeries,
radParallelTitlesOfPublishersSeries,
radOtherTitleInformationOfPublishersSeries,
radStatementOfResponsibilityRelatingToPublishersSeries,
radNumberingWithinPublishersSeries,
radPublishersSeriesNote,
radNoteOnPublishersSeries,
archivalHistory,
scopeAndContent,scopeAndContent
physicalCharacteristics,
acquisition,
arrangement,arrangement
language,language
script,
languageNote,
locationOfOriginals,
locationOfCopies,
accessConditions,
reproductionConditions,
findingAids,
relatedUnitsOfDescription,
accruals,
radNoteAccompanyingMaterial,
radNoteAlphaNumericDesignation,
radNoteConservation,
radNoteEdition,
radNotePhysicalDescription,
radNotePublishersSeries,
radNoteRights,
radStandardNumber,
subjectAccessPoints,
placeAccessPoints,
nameAccessPoints,
genreAccessPoints,
descriptionIdentifier,
institutionIdentifier,
rules,
descriptionStatus,
levelOfDetail,
revisionHistory,
languageOfDescription,
scriptOfDescription,
sources,
publicationStatus,publicationStatus
digitalObjectPath,
digitalObjectURI,
generalNote,
physicalObjectName,physicalObjectName
physicalObjectLocation,physicalObjectType
physicalObjectType,
alternativeIdentifiers,
alternativeIdentifierLabels,
eventDates,eventDates
eventTypes,eventTypes
eventStartDates,eventStartDates
eventEndDates,eventEndDates
eventDescriptions,
eventActors,
eventActorHistories,
eventPlaces,
culture,
